公司,年/月,季別,合併(Y/N),月份,幣別,營業收入淨額,營業成本,營業毛利,聯屬公司已（未）實現銷貨利益,已實現銷貨毛利,營業費用,  研究發展費,  預期信用減損（損失）利益－營業費用,其他收益及費損淨額,營業利益,  利息收入,其他收入,其他利益及損失,財務成本,採權益法之關聯企業及合資損益之份額,預期信用減損（損失）利益,除列按攤銷後成本衡量金融資產淨損益,金融資產重分類淨損益,營業外收入及支出－其他,營業外收入及支出,稅前淨利,所得稅費用,繼續營業單位損益,停業單位損益,合併前非屬共同控制股權損益,其他損益調整項－非常項目及累計影響數,合併總損益,  不重分類至損益之項目－OCI,  後續可能重分類至損益之項目－OCI,  合併前非屬共同控制股權綜合損益淨額－OCI,其他綜合損益－OCI,本期綜合損益總額,歸屬母公司淨利（損）,歸屬非控制權益淨利（損）,歸屬共同控制下前手權益淨利（損）,綜合損益歸屬母公司,綜合損益歸屬非控制權益,綜合損益歸屬共同控制下前手權益,每股盈餘,加權平均股數,發放特別股股息,稀釋稅後淨利,每股盈餘－完全稀釋,加權平均股數－稀釋,稅前息前淨利,稅前息前折舊前淨利,常續性稅後淨利
1101 台泥,2023/09,3,Y,09,NTD,"80,966,464","66,737,333","14,229,131",0,"14,229,131","7,632,475","1,047,398",0,0,"6,596,656",-,"4,514,864","-563,363","2,565,606","2,557,272",0,0,0,0,"3,943,167","10,539,823","3,035,124","7,504,699",0,0,0,"7,504,699","-702,362","3,627,697",0,"2,925,335","10,430,034","6,195,906","1,308,793",0,"9,027,678","1,402,356",0,0.82,"7,555,983",-,-,0.8,-,"13,105,429","20,024,777","8,033,804"
1102 亞泥,2023/09,3,Y,09,NTD,"60,239,086","52,098,598","8,140,488",0,"8,140,488","2,147,595",0,"-215,009",0,"5,992,893",-,"2,206,346","2,797,425","1,302,606","2,293,913",0,0,0,0,"5,995,078","11,987,971","2,184,902","9,803,069",0,0,0,"9,803,069","2,174,557","3,426,445",0,"5,601,002","15,404,071","9,557,190","245,879",0,"14,706,569","697,502",0,2.88,"3,318,469",0,-,2.88,-,"13,290,577","16,841,014","9,803,069"
1101 台泥,2023/06,2,Y,06,NTD,"53,964,171","45,509,992","8,454,179",0,"8,454,179","4,919,864","679,024",0,0,"3,534,315","1,595,980","2,897,087","273,133","1,672,670","2,230,881",0,0,0,0,"3,728,431","7,262,746","2,050,419","5,212,327",0,0,0,"5,212,327","-202,399","-3,867,567",0,"-4,069,966","1,142,361","4,949,062","263,265",0,"842,555","299,806",0,0.64,"7,136,475","350,000","4,737,157",0.63,"7,566,098","8,935,416","13,500,140","4,811,759"
1102 亞泥,2023/06,2,Y,06,NTD,"41,392,623","36,060,691","5,331,932",0,"5,331,932","1,203,781",0,"-343,185",0,"4,128,151","623,254","1,743,807","2,280,668","847,042","1,403,797",0,0,0,0,"4,581,230","8,709,381","1,545,419","7,163,962",0,0,0,"7,163,962","2,629,211","-1,987,455",0,"641,756","7,805,718","6,851,572","312,390",0,"8,003,676","-197,958",0,2.07,"3,313,597",0,"6,851,572",2.07,"3,316,627","9,556,423","11,915,091","5,384,023"
1101 台泥,2023/03,1,Y,03,NTD,"26,295,929","23,826,708","2,469,221",0,"2,469,221","2,303,154","331,351",0,0,"166,067","741,718","862,755","276,597","829,265","1,004,735",0,0,0,0,"1,314,822","1,480,889","475,245","1,005,644",0,0,0,"1,005,644","1,532,956","-32,187",0,"1,500,769","2,506,413","1,407,161","-401,517",0,"2,900,492","-394,079",0,0.2,"7,138,849",0,"1,476,208",0.2,"7,563,541","2,310,154","4,578,908","707,867"
1102 亞泥,2023/03,1,Y,03,NTD,"19,221,505","17,241,934","1,979,571",0,"1,979,571","520,464",0,"-223,358",0,"1,459,107","299,315","372,953","1,545,609","409,277","215,139",0,0,0,0,"1,724,424","3,183,531","416,452","2,767,079",0,0,0,"2,767,079","1,035,460","201,285",0,"1,236,745","4,003,824","2,687,792","79,287",0,"3,821,000","182,824",0,0.81,"3,313,255",0,"2,687,815",0.81,"3,317,025","3,592,808","4,782,956","1,882,256"
1101 台泥,2022/12,4,Y,12,NTD,"113,929,706","104,345,739","9,583,967",0,"9,583,967","8,421,829","675,823",0,0,"1,162,138","2,102,495","5,183,960","-749,969","2,869,888","3,919,856",0,0,0,0,"5,483,959","6,646,097","2,489,012","4,157,085",0,0,0,"4,157,085","-6,944,822","8,089,745",0,"1,144,923","5,302,008","5,404,984","-1,247,899",0,"6,253,579","-951,571",0,0.74,"6,835,603","350,000","5,285,142",0.73,"7,192,853","9,515,985","18,032,020","4,279,352"
1102 亞泥,2022/12,4,Y,12,NTD,"91,122,104","79,366,622","11,755,482",0,"11,755,482","3,184,209",0,"-140,185",0,"8,571,273","946,116","1,877,710","1,732,061","1,295,075","4,311,008",0,0,0,0,"6,625,704","15,196,977","2,599,841","12,597,136",0,0,0,"12,597,136","-226,767","4,644,649",0,"4,417,882","17,015,018","12,016,396","580,740",0,"16,002,287","1,012,731",0,3.63,"3,313,166",0,"12,016,759",3.62,"3,318,235","16,492,052","21,261,387","11,027,153"
1101 台泥,2022/09,3,Y,09,NTD,"79,274,330","74,872,991","4,401,339",0,"4,401,339","5,573,857","536,140",0,0,"-1,172,518","1,350,512","4,053,788","-505,871","1,998,010","2,463,295",0,0,0,0,"4,013,202","2,840,684","1,286,301","1,554,383",0,0,0,"1,554,383","-7,424,786","7,780,815",0,"356,029","1,910,412","2,917,831","-1,363,448",0,"3,129,262","-1,218,850",0,0.38,"6,730,077","350,000","2,567,831",0.38,"6,731,327","4,838,694","11,037,141","2,156,930"
1102 亞泥,2022/09,3,Y,09,NTD,"66,875,550","56,958,461","9,917,089",0,"9,917,089","2,420,468",0,"-122,663",0,"7,496,621","613,563","1,496,106","1,562,334","841,918","4,446,297",0,0,0,0,"6,662,819","14,159,440","2,200,293","11,959,147",0,0,0,"11,959,147","-861,467","6,817,075",0,"5,955,608","17,914,755","11,407,298","551,849",0,"16,616,521","1,298,234",0,3.44,"3,313,128",0,"11,407,634",3.44,"3,318,469","15,001,358","18,602,158","10,826,140"
