證券代碼,年月,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(百萬股)_年,成交值(百萬元)_年,報酬率％_年,週轉率％_年,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln_年,市值比重％,成交值比重％,成交筆數(千筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ
1101 台泥,2023/12,33.6,40.25,31.35,33.6,"4,634","167,742",1.2164,61.365,"7,551,182","253,720",33.55,33.6,1.2092,0.47,0.159,"2,275",28.47,30.5,-,1.18
1102 亞泥,2023/12,40.95,44.8,38.2,41.35,"1,093","45,801",6.5805,30.8283,"3,546,563","146,650",41.3,41.35,6.3731,0.272,0.091,610,14.41,16.88,-,0.91
1101 台泥,2022/12,48.05,50.2,29.8,33.65,"5,400","208,188",-21.0543,75.457,"7,156,182","240,806",33.65,33.75,-23.6419,0.547,0.224,"2,538",28.04,27.54,1.16,1.2
1102 亞泥,2022/12,44.4,48.7,36.6,41,"1,647","70,852",0.3192,46.444,"3,545,928","145,383",41,41.05,0.3192,0.33,0.073,800,9.45,10.23,0.9,0.9
1101 台泥,2021/12,43.2,58.7,40.15,48,"5,788","282,962",18.9741,94.4961,"6,125,234","294,011",48,48.05,17.3725,0.526,0.088,"2,592",14.08,14.56,1.5,1.46
1102 亞泥,2021/12,43.15,54.3,40,44.3,"2,533","119,618",10.2078,71.4324,"3,545,572","157,069",44.3,44.35,9.7193,0.281,0.046,"1,057",10.16,9.94,1.04,1.05
1101 台泥,2020/12,43.8,47.55,33.35,43.2,"4,163","177,036",9.8274,71.6576,"5,810,254","251,003",43.2,43.25,9.3744,0.563,0.22,"1,577",10.29,9.66,1.32,1.29
1102 亞泥,2020/12,48.1,49.9,35.2,43.2,"1,984","85,756",-3.4558,59.025,"3,361,447","145,215",43.2,43.25,-3.5163,0.326,0.057,844,10.12,10.37,1.02,1.02
1101 台泥,2019/12,35.75,46.6,34.9,43.7,"4,072","168,018",42.2499,74.505,"5,465,619","238,848",43.65,43.7,35.2413,0.66,0.336,"1,417",10.76,10.41,1.35,1.3
1102 亞泥,2019/12,34.4,48.9,33.55,47.95,"2,119","90,562",50.4558,63.029,"3,361,447","161,181",47.95,48,40.8502,0.446,0.308,930,10.56,10.27,1.13,1.13
1101 台泥,2018/12,36.45,47.3,32.7,35.6,"4,253","169,504",11.052,83.267,"5,108,059","181,847",35.55,35.6,10.4831,0.626,0.427,"1,427",9.78,9.52,1.07,1.07
1102 亞泥,2018/12,28.3,45.75,26.7,33.95,"2,244","79,213",23.8338,66.7629,"3,361,447","114,121",33.9,33.95,21.377,0.393,0.267,930,10.38,10.55,0.83,0.83
1101 台泥,2017/12,35.45,38.9,33.35,36.45,"1,578","55,647",8.0504,37.1502,"4,246,509","154,785",36.4,36.45,7.743,0.487,0.466,564,19.92,20.21,1.2,1.38
1102 亞泥,2017/12,26.45,32,25.5,28.2,799,"22,291",10.6024,23.7756,"3,361,447","94,793",28.15,28.2,10.0768,0.298,0.185,347,17.63,19.28,0.75,0.75
1101 台泥,2016/12,27.3,38.3,25.45,35.15,"1,690","55,453",33.7756,45.7726,"3,692,175","129,780",35.1,35.15,29.0993,0.477,0.409,779,20.56,20.64,1.23,1.23
1102 亞泥,2016/12,27.35,31.15,23,26.35,918,"25,208",-0.1004,27.3058,"3,361,447","88,574",26.3,26.35,-0.1007,0.326,0.169,456,31.75,38.12,0.73,0.73
1101 台泥,2015/12,43.4,45.4,26.9,27.3,"1,762","66,608",-32.9034,47.7247,"3,692,175","100,796",27.2,27.3,-39.9029,0.413,0.587,738,15.34,15.43,0.92,0.92
