公司,年/月,季別,合併(Y/N),月份,幣別,  現金及約當現金,  透過損益按公允價值衡量之金融資產－流動,  透過其他綜合損益按公允價值衡量之金融資產－流動,  按攤銷後成本衡量之金融資產－流動,  避險之金融資產－流動,  合約資產－流動,  應收帳款及票據,  其他應收款,  資金貸予他人－流動,  存貨,  待出售非流動資產,  當期所得稅資產－流動,流動資產,  透過損益按公允價值衡量之金融資產－非流動,  透過其他綜合損益按公允價值衡量之金融資產－非流動,  按攤銷後成本衡量之金融資產－非流動,  避險之金融資產－非流動,  合約資產－非流動,  採權益法之長期股權投資,  預付投資款,  不動產廠房及設備,  商譽及無形資產合計,    遞延所得稅資產,  遞延資產合計,    使用權資產,    投資性不動產淨額,  其他非流動資產,非流動資產,資產總額,  短期借款,  應付商業本票∕承兌匯票,  透過損益按公允價值衡量之金融負債－流動,  避險之金融負債－流動,  按攤銷後成本衡量之金融負債－流動,  合約負債－流動,  應付帳款及票據,  其他應付款,  當期所得稅負債,  負債準備－流動,  與待出售非流動資產直接相關之負債,  租賃負債─流動,  一年內到期長期負債,  特別股負債－流動,流動負債,  透過損益按公允價值衡量之金融負債－非流動,  避險之金融負債－非流動,  按攤銷後成本衡量之金融負債－非流動,  合約負債－非流動,  特別股負債－非流動,  應付公司債－非流動,  銀行借款－非流動,  其他長期借款－非流動,  租賃負債－非流動,  負債準備－非流動,  遞延貸項,  應計退休金負債,  遞延所得稅,非流動負債,負債總額,    普通股股本,    特別股股本,    預收股款,    待分配股票股利,    換股權利證書,  股本,  資本公積合計,    法定盈餘公積,    特別盈餘公積,    未分配盈餘,  保留盈餘,  其他權益,  庫藏股票帳面值,母公司股東權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,股東權益總額,負債及股東權益總額
1101 台泥,2023/09,3,Y,09,NTD,"72,510,081","668,831","6,826,023","29,982,272",0,0,"29,512,664","2,612,179",-,"13,443,179",0,0,"163,318,027","297,759","20,906,490","18,829,366",0,0,"57,333,453",0,"127,763,598","28,680,821",0,0,"15,634,113","7,949,939","55,787,948","309,599,435","472,917,462","20,099,911","3,640,126","603,782",0,0,"4,372,004","11,238,347","14,383,340","2,401,752",0,0,"466,737","36,635,653",0,"94,338,554",0,0,0,0,0,"68,840,993","31,737,240","15,064,836","3,735,814",0,0,"63,349","12,714,330","133,852,417","228,190,971","71,561,817","2,000,000",0,0,0,"73,561,817","65,939,406",-,-,-,"68,806,743","14,822,862","-732,459","222,398,369",0,0,"22,328,122","244,726,491","472,917,462"
1102 亞泥,2023/09,3,Y,09,NTD,"38,046,324","39,239,002","4,960,009","14,691,273",0,"108,370","12,860,672","1,979,453",-,"7,651,828",0,"38,133","121,392,947",0,"12,225,456","53,839",0,0,"93,203,532",0,"40,540,358","6,711,907","837,788","837,788","4,757,437","37,423,467","60,991,927","214,564,807","335,957,754","32,721,438","27,543,915",0,0,0,"984,944","10,360,250","296,347","2,005,685","89,800",0,"250,238","10,199,160",0,"84,451,777",0,0,0,0,0,"39,100,000","8,242,757",0,"1,142,260","1,002,487",0,"107,871","9,323,556","59,799,527","144,251,304","35,465,629",0,0,0,0,"35,465,629","6,818,504","22,558,401","66,826,782","27,179,802","116,564,985","9,294,095",0,"168,143,213",0,0,"23,563,237","191,706,450","335,957,754"
1101 台泥,2023/06,2,Y,06,NTD,"52,738,528","669,525","7,076,567","40,903,119",0,"45,714","28,749,677","2,869,444",0,"14,503,585",0,0,"154,071,563","295,228","21,190,943","16,988,509",0,0,"54,948,925",0,"124,271,643","28,155,143",0,0,"15,196,608","5,312,799","56,419,695","302,270,086","456,341,649","19,568,604","2,179,034","259,682",0,0,"3,950,878","11,952,741","17,336,607","1,644,024",0,0,"443,014","33,818,641",0,"91,552,014",0,0,0,0,0,"68,836,963","28,385,009","15,063,156","3,612,317",0,0,"63,683","12,849,141","130,070,184","221,622,198","71,561,817","2,000,000",0,0,0,"73,561,817","66,009,915","24,470,947","13,004,401","30,085,016","67,560,364","7,884,583","-732,459","214,284,220",0,0,"20,435,231","234,719,451","456,341,649"
1102 亞泥,2023/06,2,Y,06,NTD,"38,029,752","39,173,020","5,491,534","12,946,073",0,"94,644","12,347,995","5,634,051",0,"8,081,106",0,"13,301","123,631,973",0,"12,254,491","104,584",0,0,"91,119,997","1,596,380","39,524,555","6,507,408","814,974","814,974","4,715,755","37,244,900","59,535,287","211,457,676","335,089,649","32,553,025","26,961,103",0,0,0,"904,935","9,940,122","8,800,870","1,714,539","90,611",0,"259,475","6,709,160",0,"87,933,840",0,0,0,0,0,"42,600,000","7,934,011",0,"1,181,936","989,026",0,"107,772","9,333,203","63,032,840","150,966,680","35,465,629",0,0,0,0,"35,465,629","6,802,044","22,558,401","67,033,633","24,276,076","113,868,110","5,310,543",0,"161,446,326",0,0,"22,676,643","184,122,969","335,089,649"
1101 台泥,2023/03,1,Y,03,NTD,"70,957,209","648,145","6,377,062","30,795,636",0,"245,472","30,665,202","1,618,043",0,"15,773,232",0,0,"164,832,022","290,412","23,662,688","11,492,164",0,0,"55,617,949",0,"120,821,456","28,319,815",0,0,"15,650,039","5,317,619","56,611,862","296,816,346","461,648,368","17,733,242","3,051,693","364,022",0,0,"2,779,840","14,355,988","12,474,824","1,317,413",0,0,"423,841","21,115,742",0,"74,340,055",0,0,0,0,0,"81,423,818","33,234,023","15,055,513","3,641,884",0,0,"64,273","12,460,280","147,227,279","221,567,334","71,561,817","2,000,000",0,0,0,"73,561,817","66,000,181","23,950,392","13,004,401","30,979,905","67,934,698","13,484,421","-904,059","220,077,058",0,0,"20,003,976","240,081,034","461,648,368"
1102 亞泥,2023/03,1,Y,03,NTD,"41,352,173","38,456,263","5,159,686","11,129,381",0,"124,117","12,885,493","953,003",0,"8,086,015",0,"76,763","120,394,175",0,"11,796,636","72,590",0,0,"91,826,147","1,595,487","40,420,990","6,749,136","860,514","860,514","4,878,191","37,196,055","60,127,243","213,448,743","333,842,918","28,406,133","33,938,844","12,309",0,0,"1,073,632","10,245,129","8,450,377","1,520,581","18,501",0,"259,151","229,361",0,"84,154,018",0,0,0,0,0,"45,100,000","11,016,362",0,"1,235,627","999,892",0,"110,566","10,269,686","69,631,015","153,785,033","35,459,276",0,0,0,0,"35,459,276","6,002,935","21,318,344","66,656,628","21,732,203","109,707,175","5,289,278",0,"156,458,664",0,0,"23,599,221","180,057,885","333,842,918"
1101 台泥,2022/12,4,Y,12,NTD,"88,842,494","611,802","5,934,753","20,954,299",0,"548,725","35,113,458","2,724,874",0,"16,089,980",0,0,"175,624,058","284,876","22,751,646","9,577,103",0,0,"53,586,673",0,"114,739,983","27,880,416","586,926","586,926","15,503,775","5,323,016","55,777,280","285,184,903","460,808,961","22,416,812","3,065,961","641,522",0,0,"1,774,714","13,691,411","10,521,827","1,063,356",0,0,"400,136","21,511,839",0,"75,209,411",0,0,0,0,0,"72,136,574","42,864,736","14,990,589","3,550,048",0,0,"119,623","12,359,419","147,323,770","222,533,181","71,561,817","2,000,000",0,0,0,"73,561,817","65,985,865","23,950,392","13,004,401","29,572,801","66,527,594","11,991,090","-171,600","217,894,766",0,0,"20,381,014","238,275,780","460,808,961"
1102 亞泥,2022/12,4,Y,12,NTD,"43,486,332","26,710,158","4,833,688","11,238,921",0,"135,578","13,992,365","851,355",0,"8,667,817",0,"36,765","111,449,752",0,"11,494,100","70,561",0,0,"91,718,368","1,594,449","39,795,675","6,789,196","789,858","789,858","4,974,040","37,186,104","60,541,168","212,793,375","324,243,127","28,692,869","27,059,806",0,0,0,"912,816","10,767,697","289,562","1,359,739","24,932",0,"261,250","1,593,990",0,"70,962,661",0,0,0,0,0,"45,100,000","10,415,840",0,"1,302,028","1,040,794",0,"111,146","10,169,111","69,047,221","140,009,882","35,459,276",0,0,0,0,"35,459,276","6,005,713","21,318,344","66,656,628","27,220,222","115,195,194","4,156,664",0,"160,816,847",0,0,"23,416,398","184,233,245","324,243,127"
1101 台泥,2022/09,3,Y,09,NTD,"95,367,543","859,007","5,789,040","17,917,938",0,0,"33,218,170","1,969,769",0,"17,682,787",0,0,"178,596,913",0,"22,180,763","11,646,126",0,0,"48,944,177",0,"112,934,189","27,997,866",0,0,"15,697,201","5,410,610","56,433,565","280,136,686","458,733,599","44,217,526","4,108,056","703,682",0,0,"2,507,559","13,906,734","9,129,948","875,099",0,0,"396,335","432,766",0,"76,481,831",0,0,0,0,0,"89,535,110","39,019,996","15,063,137","3,359,660",0,0,"79,610","12,209,194","160,581,322","237,063,153","67,361,817","2,000,000",0,0,0,"69,361,817","56,817,103","23,950,392","13,038,700","27,285,930","64,275,022","11,131,654","-171,600","201,413,996",0,0,"20,256,450","221,670,446","458,733,599"
1102 亞泥,2022/09,3,Y,09,NTD,"43,367,094","26,707,360","3,904,660","11,737,302",0,"153,773","14,038,828","1,173,337",0,"9,283,511",0,"89,633","113,126,909",0,"10,709,594","73,081",0,0,"92,787,904","1,592,972","40,842,810","6,945,832","857,200","857,200","5,124,286","36,763,487","60,330,746","214,140,139","327,267,048","31,275,872","25,593,009",0,0,0,"1,481,751","9,694,114","290,493","1,308,927","12,769",0,"264,554","1,747,288",0,"71,668,777",0,0,0,0,0,"45,100,000","11,666,570",0,"1,368,082","1,031,446",0,"117,377","10,173,623","70,383,896","142,052,673","35,459,276",0,0,0,0,"35,459,276","5,992,565","21,318,344","66,656,628","26,400,137","114,375,109","5,676,945",0,"161,503,895",0,0,"23,710,480","185,214,375","327,267,048"
